calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 9.000000 0.000000 0.000000 9.000000 0.000000 0.001218 0.000000 0.000000 0.000000 0.000000 
1 0.050000 0.000000 0.000000 0.000000 11.311250 0.000000 0.000000 9.000000 0.000000 0.001955 0.000000 0.000000 0.000000 0.000000 
1 0.100000 0.750492 0.000000 0.000000 13.622500 0.000000 -0.000000 9.001101 0.001468 0.002692 0.750492 0.000000 0.000000 0.000000 
1 0.150000 0.750492 0.000000 0.000000 15.933750 0.000000 -0.000000 9.001101 0.001468 0.003429 0.000000 0.000000 0.000000 0.000000 
1 0.200000 1.500983 0.000000 0.000000 18.245000 0.000000 -0.000000 9.005236 0.004041 0.004166 0.750492 0.000000 0.000000 0.000000 
1 0.250000 3.001966 0.000000 0.000000 20.556250 0.000000 -0.000000 9.026755 0.010295 0.004903 1.500983 0.000000 0.000000 0.000000 
1 0.300000 3.752458 0.000000 0.000000 22.867500 0.000000 -0.000000 9.044970 0.013975 0.005641 0.750492 -0.000000 0.000000 0.000000 
1 0.350000 5.253441 0.000000 -0.000000 25.178750 0.000000 0.000000 9.099630 0.022442 0.006378 1.500983 -0.000000 0.000000 0.000000 
1 0.400000 6.754424 0.000000 -0.000000 27.490000 -0.000000 0.000000 9.181367 0.032014 0.007115 1.500983 -0.000000 0.000000 0.000000 
1 0.450000 8.630653 -0.000000 0.006701 29.801147 0.014916 -0.000089 9.326644 0.045362 0.007852 1.876229 0.006701 0.000000 0.000000 
1 0.500000 10.506840 0.012572 -0.000000 32.112397 0.014749 -0.000089 9.524503 0.060093 0.008589 1.876229 -0.006701 0.000000 0.000000 
2 0.500000 10.506840 0.012572 -0.000000 32.112397 0.014749 -0.000089 9.524503 0.060093 0.008589 0.000000 0.000000 0.000000 -50.000000 
3 0.500000 10.506843 0.016046 0.000136 32.112395 0.011909 -0.000200 6.062097 -0.075184 0.003303 0.000000 0.000000 0.000000 0.000000 
1 0.550000 12.758318 0.016352 0.000136 34.423645 0.011792 -0.000201 5.740292 -0.067747 0.004040 2.251475 -0.000000 0.000000 0.000000 
2 0.550000 12.758318 0.016352 0.000136 34.423645 0.011792 -0.000201 5.740292 -0.067747 0.004040 0.000000 0.000000 0.000000 -50.000000 
3 0.550000 12.758319 0.018563 0.000262 34.423645 0.011559 -0.000215 5.422258 -0.085902 0.003004 0.000000 0.000000 0.000000 0.000000 
1 0.600000 14.634548 0.019054 0.006963 36.734789 0.028297 -0.000254 5.110609 -0.080266 0.003741 1.876229 0.006701 0.000000 0.000000 
1 0.650000 17.261205 0.037343 0.000262 39.046039 0.028284 -0.000256 4.714747 -0.070440 0.004478 2.626721 -0.006701 0.000000 0.000000 
