calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 24.193548 10.204082 0.368904 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1 0.050000 24.543549 10.339393 0.375605 50.005723 19.718541 0.000000 7.775527 0.000000 0.018425 0.375246 0.006701 0.000000 0.000000 
1 0.100000 25.241720 10.614700 0.375605 100.012842 39.433540 -0.005073 15.560036 0.012864 0.036850 0.750492 0.000000 0.000000 0.000000 
1 0.150000 26.638064 11.165314 0.375605 150.035323 59.109583 -0.025363 23.443337 0.064320 0.055275 1.500983 -0.000000 0.000000 0.000000 
1 0.200000 28.034407 11.715928 0.375605 200.085735 78.714795 -0.055798 31.506263 0.141503 0.073701 1.500983 0.000000 0.000000 0.000000 
1 0.250000 30.128922 12.541849 0.389007 249.704450 98.623957 -0.118732 40.727266 0.295040 0.092126 2.251475 0.013402 0.000000 0.000000 
1 0.300000 32.559390 13.538084 0.382306 299.765186 117.825205 -0.209009 50.754193 0.519559 0.110551 2.626721 -0.006701 0.000000 0.000000 
1 0.350000 35.344635 14.658001 0.395708 349.593008 136.842013 -0.336932 63.065932 0.825783 0.128976 3.001966 0.013402 0.000000 0.000000 
1 0.400000 38.114622 15.815142 0.395708 399.741550 155.091073 -0.486175 77.215519 1.183045 0.147401 3.001966 -0.000000 0.000000 0.000000 
1 0.450000 41.923353 17.406212 0.402408 450.617460 171.248718 -0.724457 97.190504 1.742872 0.165826 4.127704 0.006701 0.000000 0.000000 
1 0.500000 45.376066 18.875808 0.402408 502.023771 186.166218 -0.968155 120.065030 2.315423 0.184251 3.752458 0.000000 0.000000 0.000000 
1 0.550000 49.174051 20.492363 0.409109 554.337906 198.640292 -1.270690 149.388094 3.013196 0.202677 4.127704 0.006701 0.000000 0.000000 
1 0.600000 52.961118 22.134332 0.415810 607.492235 208.893131 -1.608614 184.461000 3.778498 0.221102 4.127704 0.006701 0.000000 0.000000 
1 0.650000 56.737097 23.801640 0.422511 661.636806 216.642658 -1.982845 225.760185 4.610885 0.239527 4.127704 0.006701 0.000000 0.000000 
1 0.700000 61.186315 25.801953 0.429212 718.449071 218.194748 -2.469104 281.384947 5.673358 0.257952 4.878195 0.006701 0.000000 0.000000 
1 0.750000 65.280820 27.675874 0.442613 776.114180 217.544853 -2.966597 342.425478 6.722971 0.276377 4.502949 0.013402 0.000000 0.000000 
1 0.800000 69.688930 29.765217 0.449314 836.806764 210.297766 -3.552194 417.744097 7.937375 0.294802 4.878195 0.006701 0.000000 0.000000 
1 0.850000 73.744940 31.721064 0.462716 898.545876 200.722570 -4.144754 498.010092 9.125262 0.313227 4.502949 0.013402 0.000000 0.000000 
1 0.900000 77.774376 33.731090 0.476117 962.631570 186.251957 -4.791207 588.206170 10.378841 0.331653 4.502949 0.013402 0.000000 0.000000 
1 0.950000 82.110023 35.966922 0.482818 1031.361670 162.559490 -5.542345 696.537156 11.811768 0.350078 4.878195 0.006701 0.000000 0.000000 
1 1.000000 85.765889 37.883321 0.489519 1099.200556 140.947049 -6.221795 800.017056 13.087081 0.368503 4.127704 0.006701 0.000000 0.000000 
1 1.050000 89.740008 40.000614 0.502921 1172.301488 109.241888 -7.021579 922.443653 14.540968 0.386928 4.502949 0.013402 0.000000 0.000000 
1 1.100000 93.685396 42.170976 0.516322 1249.130656 70.859425 -7.881735 1056.343148 16.056158 0.405353 4.502949 0.013402 0.000000 0.000000 
2 1.100000 93.685396 42.170976 0.516322 1249.130656 70.859425 -7.881735 1056.343148 16.056158 0.405353 0.000000 0.000000 0.000000 -50.000000 
3 1.100000 93.788953 41.693426 0.506622 1206.767797 266.214434 -3.913695 155.469581 -2.242337 0.033675 0.000000 0.000000 0.000000 0.000000 
1 1.150000 97.398169 43.696298 0.513323 1266.619412 281.159587 -3.981955 153.713578 -2.121250 0.052100 4.127704 0.006701 0.000000 0.000000 
1 1.200000 101.320767 45.907583 0.513323 1328.331690 294.496637 -4.097164 151.807818 -1.916882 0.070525 4.502949 0.000000 0.000000 0.000000 
1 1.250000 104.916481 47.934595 0.520024 1388.949885 308.149976 -4.241816 153.246800 -1.664256 0.088951 4.127704 0.006701 0.000000 0.000000 
1 1.300000 108.824173 50.172115 0.520024 1451.891958 319.436429 -4.440844 155.865080 -1.316665 0.107376 4.502949 -0.000000 0.000000 0.000000 
1 1.350000 112.406225 52.223175 0.526725 1513.963162 330.637405 -4.663651 162.437917 -0.933524 0.125801 4.127704 0.006701 0.000000 0.000000 
1 1.400000 116.298836 54.486829 0.526725 1578.900796 338.598143 -4.948420 171.678435 -0.443830 0.144226 4.502949 0.000000 0.000000 0.000000 
1 1.450000 119.542679 56.373207 0.526725 1641.262430 347.610781 -5.220485 184.918647 0.024016 0.162651 3.752458 0.000000 0.000000 0.000000 
1 1.500000 123.435290 58.636862 0.526725 1708.909851 350.911731 -5.588671 202.172200 0.657154 0.181076 4.502949 -0.000000 0.000000 0.000000 
1 1.550000 127.003517 60.711878 0.520024 1776.111458 353.130695 -5.960069 223.470327 1.305779 0.199501 4.127704 -0.006701 0.000000 0.000000 
1 1.600000 130.585568 62.762938 0.513323 1844.940464 352.316967 -6.364461 249.374336 2.023129 0.217927 4.127704 -0.006701 0.000000 0.000000 
1 1.650000 134.181283 64.789950 0.506622 1915.486024 348.234067 -6.800940 280.421264 2.809673 0.236352 4.127704 -0.006701 0.000000 0.000000 
1 1.700000 137.790499 66.792822 0.499922 1987.828714 340.652008 -7.268596 317.156421 3.665870 0.254777 4.127704 -0.006701 0.000000 0.000000 
1 1.750000 141.413055 68.771464 0.493221 2062.040655 329.347495 -7.766512 360.133236 4.592171 0.273202 4.127704 -0.006701 0.000000 0.000000 
1 1.800000 145.379309 70.903454 0.479819 2140.977289 310.171444 -8.334402 413.491673 5.683468 0.291627 4.502949 -0.013402 0.000000 0.000000 
1 1.850000 149.040906 72.808879 0.473118 2219.144551 290.280067 -8.882908 471.191191 6.754988 0.310052 4.127704 -0.006701 0.000000 0.000000 
1 1.900000 153.049214 74.860712 0.459717 2302.283271 261.413258 -9.502372 542.134189 8.006187 0.328477 4.502949 -0.013402 0.000000 0.000000 
1 1.950000 156.748373 76.692150 0.453016 2384.402024 232.218885 -10.095802 617.154905 9.225281 0.346903 4.127704 -0.006701 0.000000 0.000000 
1 2.000000 160.459720 78.498760 0.446315 2468.494267 198.388302 -10.713879 701.428072 10.516928 0.365328 4.127704 -0.006701 0.000000 0.000000 
1 2.050000 164.183090 80.280461 0.439614 2554.579554 159.750096 -11.355654 795.557023 11.881509 0.383753 4.127704 -0.006701 0.000000 0.000000 
1 2.100000 167.918314 82.037172 0.432913 2642.670198 116.141024 -12.020177 900.151799 13.319397 0.402178 4.127704 -0.006701 0.000000 0.000000 
1 2.150000 171.665227 83.768814 0.426213 2732.771433 67.406174 -12.706492 1015.828964 14.830956 0.420603 4.127704 -0.006701 0.000000 0.000000 
1 2.200000 175.423658 85.475311 0.419512 2824.881574 13.399137 -13.413642 1143.211408 16.416538 0.439028 4.127704 -0.006701 0.000000 0.000000 
1 2.250000 178.850733 87.003742 0.419512 2915.105877 -38.467240 -14.084666 1270.475328 17.921120 0.457453 3.752458 -0.000000 0.000000 0.000000 
