calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 608.755760 1412.973761 1.612361 0.010000 0.000000 0.000000 0.010000 0.000000 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.005000 608.755760 1412.973761 1.612361 0.010000 -0.000010 0.000000 0.010231 0.000000 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.010000 608.755760 1412.973761 1.612361 0.010001 -0.000019 0.000000 0.010461 0.000000 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.015000 608.740168 1413.348683 1.605660 0.010002 -0.000027 -0.000001 0.010692 -0.000000 0.000003 0.375246 -0.006701 0.000000 0.000000 
1 0.020000 608.727088 1413.723700 1.612361 0.010003 -0.000037 -0.000002 0.010923 -0.000000 0.000003 0.375246 0.006701 0.000000 0.000000 
1 0.025000 608.711496 1414.098622 1.605660 0.010006 -0.000045 -0.000004 0.011154 -0.000000 0.000003 0.375246 -0.006701 0.000000 0.000000 
1 0.030000 608.698416 1414.473640 1.612361 0.010009 -0.000054 -0.000005 0.011385 -0.000000 0.000003 0.375246 0.006701 0.000000 0.000000 
1 0.035000 608.682824 1414.848562 1.605660 0.010014 -0.000062 -0.000006 0.011615 -0.000000 0.000004 0.375246 -0.006701 0.000000 0.000000 
1 0.040000 608.656665 1415.598597 1.605660 0.010026 -0.000070 -0.000009 0.011846 -0.000000 0.000004 0.750492 0.000000 0.000000 0.000000 
1 0.045000 608.630505 1416.348633 1.605660 0.010041 -0.000077 -0.000012 0.012077 -0.000000 0.000004 0.750492 0.000000 0.000000 0.000000 
1 0.050000 608.604346 1417.098668 1.605660 0.010061 -0.000085 -0.000014 0.012308 -0.000001 0.000004 0.750492 -0.000000 0.000000 0.000000 
1 0.055000 608.578187 1417.848704 1.605660 0.010085 -0.000092 -0.000017 0.012539 -0.000001 0.000004 0.750492 0.000000 0.000000 0.000000 
1 0.060000 608.552027 1418.598739 1.605660 0.010114 -0.000099 -0.000020 0.012770 -0.000001 0.000004 0.750492 0.000000 0.000000 0.000000 
1 0.065000 608.525868 1419.348775 1.605660 0.010146 -0.000106 -0.000023 0.013001 -0.000001 0.000004 0.750492 0.000000 0.000000 0.000000 
1 0.070000 608.486629 1420.473828 1.598959 0.010204 -0.000110 -0.000028 0.013232 -0.000001 0.000004 1.125737 -0.006701 0.000000 0.000000 
1 0.075000 608.454929 1421.599119 1.605660 0.010271 -0.000116 -0.000032 0.013463 -0.000001 0.000004 1.125737 0.006701 0.000000 0.000000 
1 0.080000 608.415690 1422.724172 1.598959 0.010349 -0.000120 -0.000037 0.013694 -0.000001 0.000004 1.125737 -0.006701 0.000000 0.000000 
1 0.085000 608.383991 1423.849463 1.605660 0.010438 -0.000125 -0.000042 0.013925 -0.000001 0.000004 1.125737 0.006701 0.000000 0.000000 
1 0.090000 608.331672 1425.349534 1.605660 0.010573 -0.000129 -0.000048 0.014156 -0.000002 0.000004 1.500983 -0.000000 0.000000 0.000000 
1 0.095000 608.292433 1426.474588 1.598959 0.010687 -0.000132 -0.000053 0.014387 -0.000002 0.000004 1.125737 -0.006701 0.000000 0.000000 
1 0.100000 608.250167 1427.974976 1.598959 0.010856 -0.000133 -0.000060 0.014618 -0.000002 0.000005 1.500983 0.000000 0.000000 0.000000 
1 0.105000 608.207901 1429.475364 1.598959 0.011046 -0.000134 -0.000066 0.014849 -0.000002 0.000005 1.500983 0.000000 0.000000 0.000000 
1 0.110000 608.165635 1430.975752 1.598959 0.011255 -0.000134 -0.000073 0.015080 -0.000002 0.000005 1.500983 0.000000 0.000000 0.000000 
1 0.115000 608.112803 1432.851236 1.592258 0.011547 -0.000131 -0.000082 0.015311 -0.000003 0.000005 1.876229 -0.006701 0.000000 0.000000 
1 0.120000 608.072539 1434.727033 1.598959 0.011872 -0.000128 -0.000091 0.015542 -0.000003 0.000005 1.876229 0.006701 0.000000 0.000000 
