calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 2137.096774 459.183673 0.837948 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1 0.010000 2137.096774 459.183673 0.837948 0.000103 0.000115 0.000000 0.000128 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1 0.020000 2137.096774 459.183673 0.837948 0.000207 0.000230 0.000000 0.000255 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1 0.030000 2137.096774 459.183673 0.837948 0.000310 0.000345 0.000000 0.000383 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1 0.040000 2137.096774 459.183673 0.837948 0.000414 0.000460 0.000000 0.000511 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1 0.050000 2137.096774 459.183673 0.837948 0.000517 0.000575 0.000000 0.000638 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1 0.060000 2137.096774 459.183673 0.837948 0.000621 0.000690 0.000000 0.000766 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1 0.070000 2137.096774 459.183673 0.837948 0.000724 0.000804 0.000000 0.000894 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 
1 0.080000 2137.096774 459.183673 0.837948 0.000828 0.000919 0.000000 0.001021 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 
1 0.090000 2137.096774 459.183673 0.837948 0.000931 0.001034 0.000000 0.001149 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 
1 0.100000 2137.096774 459.183673 0.837948 0.001034 0.001149 0.000000 0.001277 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 
1 0.110000 2139.607130 461.972769 0.770939 0.001158 0.001260 -0.000002 0.001394 0.000002 0.000001 3.752458 -0.067008 0.000000 0.000000 
1 0.120000 2142.304864 464.593597 0.838103 0.001279 0.001358 -0.000004 0.001537 0.000004 0.000001 3.761185 0.067164 0.000000 0.000000 
1 0.130000 2142.304864 464.593597 0.838103 0.001382 0.001473 -0.000004 0.001665 0.000004 0.000001 0.000000 0.000000 0.000000 0.000000 
1 0.140000 2142.304864 464.593597 0.838103 0.001486 0.001588 -0.000004 0.001793 0.000004 0.000001 0.000000 0.000000 0.000000 0.000000 
1 0.150000 2142.304864 464.593597 0.838103 0.001589 0.001703 -0.000004 0.001920 0.000004 0.000001 0.000000 0.000000 0.000000 0.000000 
1 0.160000 2142.304864 464.593597 0.838103 0.001692 0.001818 -0.000004 0.002048 0.000004 0.000001 0.000000 0.000000 0.000000 0.000000 
1 0.170000 2142.304864 464.593597 0.838103 0.001796 0.001933 -0.000004 0.002176 0.000004 0.000001 0.000000 0.000000 0.000000 0.000000 
1 0.180000 2142.304864 464.593597 0.838103 0.001899 0.002048 -0.000004 0.002304 0.000004 0.000001 0.000000 0.000000 0.000000 0.000000 
1 0.190000 2144.814785 467.383084 0.771095 0.002049 0.002132 -0.000008 0.002447 0.000008 0.000001 3.752458 -0.067008 0.000000 0.000000 
1 0.200000 2147.512110 470.004333 0.838259 0.002206 0.002197 -0.000012 0.002622 0.000011 0.000001 3.761185 0.067164 0.000000 0.000000 
1 0.210000 2147.512110 470.004333 0.838259 0.002310 0.002312 -0.000012 0.002750 0.000011 0.000002 0.000000 0.000000 0.000000 0.000000 
1 0.220000 2147.512110 470.004333 0.838259 0.002413 0.002427 -0.000012 0.002877 0.000011 0.000002 0.000000 0.000000 0.000000 0.000000 
1 0.230000 2147.512110 470.004333 0.838259 0.002516 0.002542 -0.000012 0.003005 0.000011 0.000002 0.000000 0.000000 0.000000 0.000000 
1 0.240000 2147.512110 470.004333 0.838259 0.002620 0.002657 -0.000012 0.003133 0.000011 0.000002 0.000000 0.000000 0.000000 0.000000 
1 0.250000 2150.021597 472.794210 0.771251 0.002811 0.002699 -0.000016 0.003318 0.000016 0.000002 3.752458 -0.067008 0.000000 0.000000 
1 0.260000 2152.718514 475.415880 0.838415 0.003020 0.002716 -0.000021 0.003537 0.000021 0.000002 3.761185 0.067164 0.000000 0.000000 
1 0.270000 2152.718514 475.415880 0.838415 0.003123 0.002831 -0.000021 0.003665 0.000021 0.000002 0.000000 0.000000 0.000000 0.000000 
1 0.280000 2152.718514 475.415880 0.838415 0.003226 0.002946 -0.000021 0.003793 0.000021 0.000002 0.000000 0.000000 0.000000 0.000000 
1 0.290000 2152.718514 475.415880 0.838415 0.003330 0.003061 -0.000021 0.003921 0.000021 0.000002 0.000000 0.000000 0.000000 0.000000 
1 0.300000 2155.227566 478.206148 0.771407 0.003575 0.003050 -0.000027 0.004159 0.000026 0.000002 3.752458 -0.067008 0.000000 0.000000 
1 0.310000 2157.924074 480.828238 0.838571 0.003846 0.003008 -0.000033 0.004433 0.000032 0.000002 3.761185 0.067164 0.000000 0.000000 
1 0.320000 2157.924074 480.828238 0.838571 0.003950 0.003123 -0.000033 0.004560 0.000032 0.000002 0.000000 0.000000 0.000000 0.000000 
1 0.330000 2157.924074 480.828238 0.838571 0.004053 0.003238 -0.000033 0.004688 0.000032 0.000002 0.000000 0.000000 0.000000 0.000000 
1 0.340000 2157.924074 480.828238 0.838571 0.004156 0.003353 -0.000033 0.004816 0.000032 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.350000 2162.947142 486.416047 0.838727 0.004708 0.003054 -0.000047 0.005327 0.000044 0.000003 7.513642 0.000156 0.000000 0.000000 
1 0.360000 2162.947142 486.416047 0.838727 0.004811 0.003168 -0.000047 0.005455 0.000044 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.370000 2162.947142 486.416047 0.838727 0.004914 0.003283 -0.000047 0.005582 0.000044 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.380000 2162.947142 486.416047 0.838727 0.005018 0.003398 -0.000047 0.005710 0.000044 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.390000 2167.969338 492.004639 0.838883 0.005735 0.002950 -0.000063 0.006355 0.000058 0.000003 7.513642 0.000156 0.000000 0.000000 
1 0.400000 2167.969338 492.004639 0.838883 0.005839 0.003065 -0.000063 0.006483 0.000058 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.410000 2167.969338 492.004639 0.838883 0.005942 0.003179 -0.000063 0.006611 0.000058 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.420000 2170.477086 494.796080 0.771874 0.006410 0.002952 -0.000071 0.007059 0.000067 0.000003 3.752458 -0.067008 0.000000 0.000000 
2 0.420000 2170.477086 494.796080 0.771874 0.006410 0.002952 -0.000071 0.007059 0.000067 0.000003 0.000000 0.000000 2135.603103 530.626310 
3 0.420000 2170.478094 494.796144 0.771854 0.006395 0.002951 -0.000070 0.007059 0.000067 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.430000 2173.173430 497.419439 0.839018 0.006916 0.002681 -0.000079 0.007541 0.000074 0.000003 3.761185 0.067164 0.000000 0.000000 
2 0.430000 2173.173430 497.419439 0.839018 0.006916 0.002681 -0.000079 0.007541 0.000074 0.000003 0.000000 0.000000 2135.974067 530.829129 
3 0.430000 2173.175170 497.419474 0.838984 0.006899 0.002680 -0.000079 0.007541 0.000074 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.440000 2173.175170 497.419474 0.838984 0.007002 0.002795 -0.000079 0.007669 0.000074 0.000003 0.000000 0.000000 0.000000 0.000000 
2 0.440000 2173.175170 497.419474 0.838984 0.007002 0.002795 -0.000079 0.007669 0.000074 0.000003 0.000000 0.000000 2135.976932 530.830416 
3 0.440000 2173.176929 497.419531 0.838950 0.006985 0.002795 -0.000078 0.007669 0.000074 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.450000 2173.176929 497.419531 0.838950 0.007088 0.002910 -0.000078 0.007797 0.000074 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.460000 2178.197877 503.009245 0.839106 0.008171 0.002123 -0.000097 0.008755 0.000091 0.000003 7.513642 0.000156 0.000000 0.000000 
1 0.470000 2178.197877 503.009245 0.839106 0.008274 0.002238 -0.000097 0.008883 0.000091 0.000003 0.000000 0.000000 0.000000 0.000000 
